"date","geoRegion","location","entries","type_variant","pop","sumTotal","prctPopSumTotal","freq","prct","prctSumTotal","per100Persons","per100PersonsTotal","type","version","granularity"
202052,"AG","nursing_home",0,"location",685845,0,NA,NA,NA,NA,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AG","nursing_home",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AG","nursing_home",242,"location",685845,242,NA,0.096,9.6,8.8,0.04,0.04,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AG","nursing_home",718,"location",685845,960,NA,0.211,21.1,15.6,0.1,0.14,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AG","nursing_home",1421,"location",685845,2381,NA,0.233,23.3,19.5,0.21,0.35,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AG","nursing_home",2992,"location",685845,5373,NA,0.418,41.8,27.7,0.44,0.78,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AG","nursing_home",3436,"location",685845,8809,NA,0.397,39.7,31.4,0.5,1.28,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AG","nursing_home",1367,"location",685845,10176,NA,0.18,18,28.6,0.2,1.48,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AG","nursing_home",1382,"location",685845,11558,NA,0.125,12.5,24.7,0.2,1.69,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202108,"AG","nursing_home",3104,"location",685845,14662,NA,0.209,20.9,23.8,0.45,2.14,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202109,"AG","nursing_home",2928,"location",685845,17590,NA,0.214,21.4,23.4,0.43,2.56,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202110,"AG","nursing_home",1529,"location",685845,19119,NA,0.113,11.3,21.5,0.22,2.79,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202111,"AG","nursing_home",144,"location",685845,19263,NA,0.014,1.4,19.4,0.02,2.81,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202112,"AG","nursing_home",71,"location",685845,19334,NA,0.004,0.4,16.7,0.01,2.82,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202113,"AG","nursing_home",124,"location",685845,19458,NA,0.008,0.8,14.9,0.02,2.84,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202114,"AG","nursing_home",369,"location",685845,19827,NA,0.018,1.8,13.1,0.05,2.89,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202115,"AG","nursing_home",398,"location",685845,20225,NA,0.016,1.6,11.5,0.06,2.95,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202116,"AG","nursing_home",1991,"location",685845,22216,NA,0.067,6.7,10.8,0.29,3.24,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202117,"AG","nursing_home",1094,"location",685845,23310,NA,0.044,4.4,10.1,0.16,3.4,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202118,"AG","nursing_home",562,"location",685845,23872,NA,0.017,1.7,9,0.08,3.48,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202119,"AG","nursing_home",584,"location",685845,24456,NA,0.018,1.8,8.2,0.09,3.57,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202120,"AG","nursing_home",2066,"location",685845,26522,NA,0.055,5.5,7.9,0.3,3.87,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202052,"AG","medical_practice",0,"location",685845,0,NA,NA,NA,NA,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AG","medical_practice",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AG","medical_practice",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AG","medical_practice",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AG","medical_practice",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AG","medical_practice",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AG","medical_practice",2,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AG","medical_practice",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AG","medical_practice",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202108,"AG","medical_practice",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202109,"AG","medical_practice",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202110,"AG","medical_practice",1,"location",685845,3,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202111,"AG","medical_practice",0,"location",685845,3,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202112,"AG","medical_practice",0,"location",685845,3,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202113,"AG","medical_practice",11,"location",685845,14,NA,0.001,0.1,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202114,"AG","medical_practice",614,"location",685845,628,NA,0.03,3,0.4,0.09,0.09,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202115,"AG","medical_practice",581,"location",685845,1209,NA,0.023,2.3,0.7,0.08,0.18,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202116,"AG","medical_practice",443,"location",685845,1652,NA,0.015,1.5,0.8,0.06,0.24,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202117,"AG","medical_practice",520,"location",685845,2172,NA,0.021,2.1,0.9,0.08,0.32,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202118,"AG","medical_practice",3959,"location",685845,6131,NA,0.116,11.6,2.3,0.58,0.89,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202119,"AG","medical_practice",3803,"location",685845,9934,NA,0.118,11.8,3.3,0.55,1.45,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202120,"AG","medical_practice",5815,"location",685845,15749,NA,0.154,15.4,4.7,0.85,2.3,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202052,"AG","pharmacy",0,"location",685845,0,NA,NA,NA,NA,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202108,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202109,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202110,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202111,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202112,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202113,"AG","pharmacy",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202114,"AG","pharmacy",3,"location",685845,3,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202115,"AG","pharmacy",0,"location",685845,3,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202116,"AG","pharmacy",1,"location",685845,4,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202117,"AG","pharmacy",1,"location",685845,5,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202118,"AG","pharmacy",0,"location",685845,5,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202119,"AG","pharmacy",2,"location",685845,7,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202120,"AG","pharmacy",2,"location",685845,9,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202052,"AG","hospital",0,"location",685845,0,NA,NA,NA,NA,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202108,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202109,"AG","hospital",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202110,"AG","hospital",1,"location",685845,1,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202111,"AG","hospital",1,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202112,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202113,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202114,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202115,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202116,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202117,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202118,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202119,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202120,"AG","hospital",0,"location",685845,2,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202052,"AG","other",0,"location",685845,0,NA,NA,NA,NA,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AG","other",0,"location",685845,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AG","other",1,"location",685845,1,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AG","other",2,"location",685845,3,NA,0.001,0.1,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AG","other",6,"location",685845,9,NA,0.001,0.1,0.1,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AG","other",3,"location",685845,12,NA,0,0,0.1,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AG","other",10,"location",685845,22,NA,0.001,0.1,0.1,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AG","other",4,"location",685845,26,NA,0.001,0.1,0.1,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AG","other",22,"location",685845,48,NA,0.002,0.2,0.1,0,0.01,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202108,"AG","other",9,"location",685845,57,NA,0.001,0.1,0.1,0,0.01,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202109,"AG","other",45,"location",685845,102,NA,0.003,0.3,0.1,0.01,0.01,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202110,"AG","other",15,"location",685845,117,NA,0.001,0.1,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202111,"AG","other",0,"location",685845,117,NA,0,0,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202112,"AG","other",1,"location",685845,118,NA,0,0,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202113,"AG","other",0,"location",685845,118,NA,0,0,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202114,"AG","other",0,"location",685845,118,NA,0,0,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202115,"AG","other",0,"location",685845,118,NA,0,0,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202116,"AG","other",0,"location",685845,118,NA,0,0,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202117,"AG","other",0,"location",685845,118,NA,0,0,0.1,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202118,"AG","other",0,"location",685845,118,NA,0,0,0,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202119,"AG","other",1,"location",685845,119,NA,0,0,0,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202120,"AG","other",0,"location",685845,119,NA,0,0,0,0,0.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202052,"AI","vaccination_centre",44,"location",16128,44,NA,1,100,100,0.27,0.27,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AI","vaccination_centre",0,"location",16128,44,NA,NA,NA,100,0,0.27,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AI","vaccination_centre",197,"location",16128,241,NA,0.56,56,60.9,1.22,1.49,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AI","vaccination_centre",80,"location",16128,321,NA,0.412,41.2,54.4,0.5,1.99,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AI","vaccination_centre",150,"location",16128,471,NA,0.419,41.9,49.7,0.93,2.92,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AI","vaccination_centre",73,"location",16128,544,NA,0.42,42,48.5,0.45,3.37,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AI","vaccination_centre",209,"location",16128,753,NA,0.653,65.3,52.2,1.3,4.67,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AI","vaccination_centre",105,"location",16128,858,NA,0.357,35.7,49.4,0.65,5.32,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AI","vaccination_centre",181,"location",16128,1039,NA,0.451,45.1,48.6,1.12,6.44,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202108,"AI","vaccination_centre",54,"location",16128,1093,NA,0.5,50,48.7,0.33,6.78,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202109,"AI","vaccination_centre",0,"location",16128,1093,NA,0,0,47.1,0,6.78,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202110,"AI","vaccination_centre",22,"location",16128,1115,NA,0.21,21,46,0.14,6.91,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202111,"AI","vaccination_centre",0,"location",16128,1115,NA,0,0,45.6,0,6.91,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202112,"AI","vaccination_centre",155,"location",16128,1270,NA,0.461,46.1,45.6,0.96,7.87,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202113,"AI","vaccination_centre",165,"location",16128,1435,NA,0.25,25,41.7,1.02,8.9,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202114,"AI","vaccination_centre",75,"location",16128,1510,NA,0.242,24.2,40.2,0.47,9.36,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202115,"AI","vaccination_centre",32,"location",16128,1542,NA,0.308,30.8,40,0.2,9.56,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202116,"AI","vaccination_centre",189,"location",16128,1731,NA,0.293,29.3,38.5,1.17,10.73,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202117,"AI","vaccination_centre",267,"location",16128,1998,NA,0.244,24.4,35.7,1.66,12.39,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202118,"AI","vaccination_centre",234,"location",16128,2232,NA,0.337,33.7,35.5,1.45,13.84,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202119,"AI","vaccination_centre",191,"location",16128,2423,NA,0.393,39.3,35.8,1.18,15.02,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202120,"AI","vaccination_centre",288,"location",16128,2711,NA,0.371,37.1,35.9,1.79,16.81,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202052,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AI","nursing_home",0,"location",16128,0,NA,NA,NA,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202108,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202109,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202110,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202111,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202112,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202113,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202114,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202115,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202116,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202117,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202118,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202119,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202120,"AI","nursing_home",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202052,"AI","medical_practice",0,"location",16128,0,NA,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202053,"AI","medical_practice",0,"location",16128,0,NA,NA,NA,0,0,0,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202101,"AI","medical_practice",155,"location",16128,155,NA,0.44,44,39.1,0.96,0.96,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202102,"AI","medical_practice",113,"location",16128,268,NA,0.582,58.2,45.4,0.7,1.66,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202103,"AI","medical_practice",208,"location",16128,476,NA,0.581,58.1,50.2,1.29,2.95,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202104,"AI","medical_practice",101,"location",16128,577,NA,0.58,58,51.4,0.63,3.58,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202105,"AI","medical_practice",111,"location",16128,688,NA,0.347,34.7,47.7,0.69,4.27,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202106,"AI","medical_practice",189,"location",16128,877,NA,0.643,64.3,50.5,1.17,5.44,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
202107,"AI","medical_practice",219,"location",16128,1096,NA,0.546,54.6,51.3,1.36,6.8,"COVID19VaccDosesAdministered","2021-05-25_11-55-54","detailed"
