date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202123,AG,male,16772,sex,344733,140255,4.87,40.69,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.547,54.7
202124,AG,male,14206,sex,344733,154461,4.12,44.81,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.56,56.00000000000001
202125,AG,male,7133,sex,344733,161594,2.07,46.88,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.537,53.7
202052,AG,female,0,sex,341112,0,0,0,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202053,AG,female,151,sex,341112,151,0.04,0.04,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.659,65.9
202101,AG,female,1320,sex,341112,1471,0.39,0.43,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.526,52.6
202102,AG,female,1939,sex,341112,3410,0.57,1,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.558,55.800000000000004
202103,AG,female,3215,sex,341112,6625,0.94,1.94,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.541,54.1
202104,AG,female,3226,sex,341112,9851,0.95,2.89,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.584,58.4
202105,AG,female,3652,sex,341112,13503,1.07,3.96,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.605,60.5
202106,AG,female,3142,sex,341112,16645,0.92,4.88,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.599,59.9
202107,AG,female,3302,sex,341112,19947,0.97,5.85,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.562,56.2
202108,AG,female,4473,sex,341112,24420,1.31,7.16,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.529,52.900000000000006
202109,AG,female,4179,sex,341112,28599,1.23,8.38,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.536,53.6
202110,AG,female,4495,sex,341112,33094,1.32,9.7,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.529,52.900000000000006
202111,AG,female,2668,sex,341112,35762,0.78,10.48,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.529,52.900000000000006
202112,AG,female,4029,sex,341112,39791,1.18,11.67,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.52,52
202113,AG,female,4895,sex,341112,44686,1.44,13.1,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.522,52.2
202114,AG,female,6473,sex,341112,51159,1.9,15,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.531,53.1
202115,AG,female,10896,sex,341112,62055,3.19,18.19,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.576,57.599999999999994
202116,AG,female,11239,sex,341112,73294,3.29,21.49,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.511,51.1
202117,AG,female,8006,sex,341112,81300,2.35,23.83,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.519,51.9
202118,AG,female,11407,sex,341112,92707,3.34,27.18,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.5,50
202119,AG,female,9643,sex,341112,102350,2.83,30,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.526,52.6
202120,AG,female,8730,sex,341112,111080,2.56,32.56,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.511,51.1
202121,AG,female,11580,sex,341112,122660,3.39,35.96,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.485,48.5
202122,AG,female,11802,sex,341112,134462,3.46,39.42,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.462,46.2
202123,AG,female,13871,sex,341112,148333,4.07,43.49,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.453,45.300000000000004
202124,AG,female,11182,sex,341112,159515,3.28,46.76,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.44,44
202125,AG,female,6154,sex,341112,165669,1.8,48.57,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.463,46.300000000000004
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202101,AG,unknown,1,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202102,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202103,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202104,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202105,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202106,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202107,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202108,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202109,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202110,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202111,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202112,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202113,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202114,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202115,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202116,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202117,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202118,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202119,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202120,AG,unknown,1,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202121,AG,unknown,3,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202122,AG,unknown,0,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202123,AG,unknown,0,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202124,AG,unknown,0,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202125,AG,unknown,0,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202052,AI,male,10,sex,8303,10,0.12,0.12,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.222,22.2
202053,AI,male,0,sex,8303,10,0,0.12,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202101,AI,male,180,sex,8303,190,2.17,2.29,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.511,51.1
202102,AI,male,94,sex,8303,284,1.13,3.42,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.485,48.5
202103,AI,male,177,sex,8303,461,2.13,5.55,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.494,49.4
202104,AI,male,40,sex,8303,501,0.48,6.03,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.488,48.8
202105,AI,male,6,sex,8303,507,0.07,6.11,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.333,33.300000000000004
202106,AI,male,44,sex,8303,551,0.53,6.64,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.431,43.1
202107,AI,male,7,sex,8303,558,0.08,6.72,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.368,36.8
202108,AI,male,26,sex,8303,584,0.31,7.03,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.473,47.3
202109,AI,male,35,sex,8303,619,0.42,7.46,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.467,46.7
202110,AI,male,5,sex,8303,624,0.06,7.52,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.5,50
202111,AI,male,5,sex,8303,629,0.06,7.58,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.455,45.5
202112,AI,male,101,sex,8303,730,1.22,8.79,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.399,39.900000000000006
202113,AI,male,277,sex,8303,1007,3.34,12.13,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.48,48
202114,AI,male,142,sex,8303,1149,1.71,13.84,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.49,49
202115,AI,male,48,sex,8303,1197,0.58,14.42,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.516,51.6
202116,AI,male,226,sex,8303,1423,2.72,17.14,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.501,50.1
202117,AI,male,247,sex,8303,1670,2.97,20.11,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.51,51
202118,AI,male,201,sex,8303,1871,2.42,22.53,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.498,49.8
202119,AI,male,223,sex,8303,2094,2.69,25.22,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.53,53
202120,AI,male,179,sex,8303,2273,2.16,27.38,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.536,53.6
202121,AI,male,366,sex,8303,2639,4.41,31.78,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.536,53.6
202122,AI,male,430,sex,8303,3069,5.18,36.96,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.549,54.900000000000006
202123,AI,male,168,sex,8303,3237,2.02,38.99,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.547,54.7
202124,AI,male,67,sex,8303,3304,0.81,39.79,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.45,45
202125,AI,male,73,sex,8303,3377,0.88,40.67,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.624,62.4
202052,AI,female,35,sex,7825,35,0.45,0.45,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.778,77.8
202053,AI,female,0,sex,7825,35,0,0.45,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202101,AI,female,172,sex,7825,207,2.2,2.65,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.489,48.9
202102,AI,female,100,sex,7825,307,1.28,3.92,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.515,51.5
202103,AI,female,181,sex,7825,488,2.31,6.24,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.506,50.6
202104,AI,female,42,sex,7825,530,0.54,6.77,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.512,51.2
202105,AI,female,12,sex,7825,542,0.15,6.93,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.667,66.7
202106,AI,female,58,sex,7825,600,0.74,7.67,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.569,56.89999999999999
202107,AI,female,12,sex,7825,612,0.15,7.82,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.632,63.2
202108,AI,female,29,sex,7825,641,0.37,8.19,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.527,52.7
202109,AI,female,40,sex,7825,681,0.51,8.7,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.533,53.300000000000004
202110,AI,female,5,sex,7825,686,0.06,8.77,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.5,50
202111,AI,female,6,sex,7825,692,0.08,8.84,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.545,54.50000000000001
202112,AI,female,152,sex,7825,844,1.94,10.79,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.601,60.099999999999994
202113,AI,female,300,sex,7825,1144,3.83,14.62,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.52,52
202114,AI,female,148,sex,7825,1292,1.89,16.51,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.51,51
202115,AI,female,45,sex,7825,1337,0.58,17.09,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.484,48.4
202116,AI,female,225,sex,7825,1562,2.88,19.96,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.499,49.9
202117,AI,female,237,sex,7825,1799,3.03,22.99,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.49,49
202118,AI,female,203,sex,7825,2002,2.59,25.58,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.502,50.2
202119,AI,female,198,sex,7825,2200,2.53,28.12,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.47,47
202120,AI,female,155,sex,7825,2355,1.98,30.1,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.464,46.400000000000006
202121,AI,female,317,sex,7825,2672,4.05,34.15,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.464,46.400000000000006
202122,AI,female,353,sex,7825,3025,4.51,38.66,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.451,45.1
202123,AI,female,139,sex,7825,3164,1.78,40.43,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.453,45.300000000000004
202124,AI,female,82,sex,7825,3246,1.05,41.48,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.55,55.00000000000001
202125,AI,female,44,sex,7825,3290,0.56,42.04,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.376,37.6
202052,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202053,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202101,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202102,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202103,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202104,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202105,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202106,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202107,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202108,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202109,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202110,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202111,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202112,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202113,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202114,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202115,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202116,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202117,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202118,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202119,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202120,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202121,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202122,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202123,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202124,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202125,AI,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202052,AR,male,0,sex,27938,0,0,0,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202053,AR,male,1,sex,27938,1,0,0,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,1,100
202101,AR,male,227,sex,27938,228,0.81,0.82,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.323,32.300000000000004
202102,AR,male,0,sex,27938,228,0,0.82,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202103,AR,male,666,sex,27938,894,2.38,3.2,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.485,48.5
202104,AR,male,535,sex,27938,1429,1.91,5.11,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.516,51.6
202105,AR,male,0,sex,27938,1429,0,5.11,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202106,AR,male,7,sex,27938,1436,0.03,5.14,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.318,31.8
202107,AR,male,112,sex,27938,1548,0.4,5.54,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.479,47.9
202108,AR,male,107,sex,27938,1655,0.38,5.92,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.557,55.7
202109,AR,male,91,sex,27938,1746,0.33,6.25,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.481,48.1
202110,AR,male,181,sex,27938,1927,0.65,6.9,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.523,52.300000000000004
202111,AR,male,508,sex,27938,2435,1.82,8.72,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.523,52.300000000000004
202112,AR,male,597,sex,27938,3032,2.14,10.85,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.472,47.199999999999996
202113,AR,male,498,sex,27938,3530,1.78,12.64,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.463,46.300000000000004
202114,AR,male,661,sex,27938,4191,2.37,15,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.478,47.8
202115,AR,male,520,sex,27938,4711,1.86,16.86,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.465,46.5
202116,AR,male,273,sex,27938,4984,0.98,17.84,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.517,51.7
202117,AR,male,425,sex,27938,5409,1.52,19.36,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.491,49.1
202118,AR,male,566,sex,27938,5975,2.03,21.39,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.401,40.1
202119,AR,male,897,sex,27938,6872,3.21,24.6,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.465,46.5
202120,AR,male,1431,sex,27938,8303,5.12,29.72,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.535,53.5
202121,AR,male,987,sex,27938,9290,3.53,33.25,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.514,51.4
202122,AR,male,1033,sex,27938,10323,3.7,36.95,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.519,51.9
202123,AR,male,797,sex,27938,11120,2.85,39.8,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.521,52.1
202124,AR,male,455,sex,27938,11575,1.63,41.43,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.559,55.900000000000006
202125,AR,male,539,sex,27938,12114,1.93,43.36,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.558,55.800000000000004
202052,AR,female,0,sex,27507,0,0,0,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202053,AR,female,0,sex,27507,0,0,0,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0,0
202101,AR,female,474,sex,27507,474,1.72,1.72,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.675,67.5
202102,AR,female,0,sex,27507,474,0,1.72,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202103,AR,female,706,sex,27507,1180,2.57,4.29,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.515,51.5
202104,AR,female,502,sex,27507,1682,1.82,6.11,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.484,48.4
202105,AR,female,0,sex,27507,1682,0,6.11,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,NA,NA
202106,AR,female,15,sex,27507,1697,0.05,6.17,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.682,68.2
202107,AR,female,122,sex,27507,1819,0.44,6.61,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.521,52.1
202108,AR,female,85,sex,27507,1904,0.31,6.92,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.443,44.3
202109,AR,female,98,sex,27507,2002,0.36,7.28,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.519,51.9
202110,AR,female,165,sex,27507,2167,0.6,7.88,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.477,47.699999999999996
202111,AR,female,464,sex,27507,2631,1.69,9.56,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.477,47.699999999999996
202112,AR,female,667,sex,27507,3298,2.42,11.99,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.528,52.800000000000004
202113,AR,female,578,sex,27507,3876,2.1,14.09,COVID19AtLeastOneDosePersons,2021-07-02_09-41-56,detailed,0.537,53.7
