date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202118,AG,chronic_disease,4022,indication,685845,28468,4.2,0.345,34.5,30.7,0.59,4.15,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202119,AG,chronic_disease,4134,indication,685845,32602,4.8,0.29,28.999999999999996,30.4,0.6,4.75,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202120,AG,chronic_disease,7511,indication,685845,40113,5.8,0.352,35.199999999999996,31.2,1.1,5.85,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202121,AG,chronic_disease,5065,indication,685845,45178,6.6,0.301,30.099999999999998,31.1,0.74,6.59,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202122,AG,chronic_disease,5802,indication,685845,50980,7.4,0.229,22.900000000000002,29.9,0.85,7.43,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202123,AG,chronic_disease,3660,indication,685845,54640,8,0.195,19.5,28.799999999999997,0.53,7.97,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202124,AG,chronic_disease,2456,indication,685845,57096,8.3,0.149,14.899999999999999,27.700000000000003,0.36,8.32,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202125,AG,chronic_disease,1916,indication,685845,59012,8.6,0.089,8.9,26,0.28,8.6,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202052,AG,med_prof,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202053,AG,med_prof,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202101,AG,med_prof,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202102,AG,med_prof,3,indication,685845,3,0,0.75,75,37.5,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202103,AG,med_prof,176,indication,685845,179,0,0.907,90.7,88.6,0.03,0.03,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202104,AG,med_prof,215,indication,685845,394,0.1,0.272,27.200000000000003,39.800000000000004,0.03,0.06,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202105,AG,med_prof,378,indication,685845,772,0.1,0.145,14.499999999999998,21.5,0.06,0.11,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202106,AG,med_prof,453,indication,685845,1225,0.2,0.186,18.6,20.3,0.07,0.18,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202107,AG,med_prof,437,indication,685845,1662,0.2,0.084,8.4,14.799999999999999,0.06,0.24,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202108,AG,med_prof,939,indication,685845,2601,0.4,0.146,14.6,14.7,0.14,0.38,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202109,AG,med_prof,958,indication,685845,3559,0.5,0.162,16.2,15.1,0.14,0.52,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202110,AG,med_prof,1577,indication,685845,5136,0.7,0.31,31,17.9,0.23,0.75,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202111,AG,med_prof,1520,indication,685845,6656,1,0.276,27.6,19.5,0.22,0.97,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202112,AG,med_prof,1087,indication,685845,7743,1.1,0.126,12.6,18.099999999999998,0.16,1.13,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202113,AG,med_prof,458,indication,685845,8201,1.2,0.073,7.3,16.7,0.07,1.2,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202114,AG,med_prof,756,indication,685845,8957,1.3,0.088,8.799999999999999,15.5,0.11,1.31,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202115,AG,med_prof,533,indication,685845,9490,1.4,0.086,8.6,14.899999999999999,0.08,1.38,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202116,AG,med_prof,533,indication,685845,10023,1.5,0.068,6.800000000000001,14.000000000000002,0.08,1.46,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202117,AG,med_prof,518,indication,685845,10541,1.5,0.055,5.5,13,0.08,1.54,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202118,AG,med_prof,768,indication,685845,11309,1.6,0.066,6.6000000000000005,12.2,0.11,1.65,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202119,AG,med_prof,3565,indication,685845,14874,2.2,0.25,25,13.900000000000002,0.52,2.17,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202120,AG,med_prof,3633,indication,685845,18507,2.7,0.17,17,14.399999999999999,0.53,2.7,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202121,AG,med_prof,1597,indication,685845,20104,2.9,0.095,9.5,13.8,0.23,2.93,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202122,AG,med_prof,1557,indication,685845,21661,3.2,0.061,6.1,12.7,0.23,3.16,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202123,AG,med_prof,1200,indication,685845,22861,3.3,0.064,6.4,12.1,0.17,3.33,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202124,AG,med_prof,1120,indication,685845,23981,3.5,0.068,6.800000000000001,11.600000000000001,0.16,3.5,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202125,AG,med_prof,903,indication,685845,24884,3.6,0.042,4.2,10.9,0.13,3.63,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202052,AG,contact_vuln,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202053,AG,contact_vuln,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202101,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202102,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202103,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202104,AG,contact_vuln,2,indication,685845,2,0,0.003,0.3,0.2,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202105,AG,contact_vuln,32,indication,685845,34,0,0.012,1.2,0.8999999999999999,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202106,AG,contact_vuln,43,indication,685845,77,0,0.018,1.7999999999999998,1.3,0.01,0.01,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202107,AG,contact_vuln,90,indication,685845,167,0,0.017,1.7000000000000002,1.5,0.01,0.02,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202108,AG,contact_vuln,96,indication,685845,263,0,0.015,1.5,1.5,0.01,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202109,AG,contact_vuln,153,indication,685845,416,0.1,0.026,2.6,1.7999999999999998,0.02,0.06,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202110,AG,contact_vuln,99,indication,685845,515,0.1,0.019,1.9,1.7999999999999998,0.01,0.08,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202111,AG,contact_vuln,93,indication,685845,608,0.1,0.017,1.7000000000000002,1.7999999999999998,0.01,0.09,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202112,AG,contact_vuln,115,indication,685845,723,0.1,0.013,1.3,1.7000000000000002,0.02,0.11,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202113,AG,contact_vuln,92,indication,685845,815,0.1,0.015,1.5,1.7000000000000002,0.01,0.12,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202114,AG,contact_vuln,221,indication,685845,1036,0.2,0.026,2.6,1.7999999999999998,0.03,0.15,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202115,AG,contact_vuln,430,indication,685845,1466,0.2,0.069,6.9,2.3,0.06,0.21,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202116,AG,contact_vuln,415,indication,685845,1881,0.3,0.053,5.3,2.6,0.06,0.27,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202117,AG,contact_vuln,813,indication,685845,2694,0.4,0.086,8.6,3.3000000000000003,0.12,0.39,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202118,AG,contact_vuln,860,indication,685845,3554,0.5,0.074,7.3999999999999995,3.8,0.13,0.52,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202119,AG,contact_vuln,889,indication,685845,4443,0.6,0.062,6.2,4.1000000000000005,0.13,0.65,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202120,AG,contact_vuln,1745,indication,685845,6188,0.9,0.082,8.200000000000001,4.8,0.25,0.9,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202121,AG,contact_vuln,6806,indication,685845,12994,1.9,0.404,40.400000000000006,8.9,0.99,1.89,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202122,AG,contact_vuln,12367,indication,685845,25361,3.7,0.488,48.8,14.899999999999999,1.8,3.7,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202123,AG,contact_vuln,4030,indication,685845,29391,4.3,0.215,21.5,15.5,0.59,4.29,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202124,AG,contact_vuln,1097,indication,685845,30488,4.4,0.067,6.7,14.799999999999999,0.16,4.45,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202125,AG,contact_vuln,673,indication,685845,31161,4.5,0.031,3.1,13.700000000000001,0.1,4.54,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202052,AG,contact_comm,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202053,AG,contact_comm,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202101,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202102,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202103,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202104,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202105,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202106,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202107,AG,contact_comm,30,indication,685845,30,0,0.006,0.6,0.3,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202108,AG,contact_comm,19,indication,685845,49,0,0.003,0.3,0.3,0,0.01,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202109,AG,contact_comm,122,indication,685845,171,0,0.021,2.1,0.7000000000000001,0.02,0.02,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202110,AG,contact_comm,13,indication,685845,184,0,0.003,0.3,0.6,0,0.03,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202111,AG,contact_comm,0,indication,685845,184,0,0,0,0.5,0,0.03,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202112,AG,contact_comm,2,indication,685845,186,0,0,0,0.4,0,0.03,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202113,AG,contact_comm,68,indication,685845,254,0,0.011,1.0999999999999999,0.5,0.01,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202114,AG,contact_comm,28,indication,685845,282,0,0.003,0.3,0.5,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202115,AG,contact_comm,1,indication,685845,283,0,0,0,0.4,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202116,AG,contact_comm,0,indication,685845,283,0,0,0,0.4,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202117,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202118,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202119,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202120,AG,contact_comm,0,indication,685845,283,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202121,AG,contact_comm,3,indication,685845,286,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202122,AG,contact_comm,7,indication,685845,293,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202123,AG,contact_comm,11,indication,685845,304,0,0.001,0.1,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202124,AG,contact_comm,26,indication,685845,330,0,0.002,0.2,0.2,0,0.05,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202125,AG,contact_comm,15,indication,685845,345,0.1,0.001,0.1,0.2,0,0.05,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202052,AG,other,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202053,AG,other,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202101,AG,other,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202102,AG,other,1,indication,685845,1,0,0.25,25,12.5,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202103,AG,other,4,indication,685845,5,0,0.021,2.1,2.5,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202104,AG,other,24,indication,685845,29,0,0.03,3,2.9000000000000004,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202105,AG,other,216,indication,685845,245,0,0.083,8.3,6.800000000000001,0.03,0.04,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202106,AG,other,122,indication,685845,367,0.1,0.05,5,6.1,0.02,0.05,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202107,AG,other,273,indication,685845,640,0.1,0.052,5.2,5.7,0.04,0.09,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202108,AG,other,423,indication,685845,1063,0.2,0.066,6.6000000000000005,6,0.06,0.15,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202109,AG,other,281,indication,685845,1344,0.2,0.048,4.8,5.7,0.04,0.2,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202110,AG,other,225,indication,685845,1569,0.2,0.044,4.3999999999999995,5.5,0.03,0.23,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202111,AG,other,248,indication,685845,1817,0.3,0.045,4.5,5.3,0.04,0.26,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202112,AG,other,459,indication,685845,2276,0.3,0.053,5.3,5.3,0.07,0.33,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202113,AG,other,355,indication,685845,2631,0.4,0.056,5.6000000000000005,5.4,0.05,0.38,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202114,AG,other,658,indication,685845,3289,0.5,0.077,7.7,5.7,0.1,0.48,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202115,AG,other,1120,indication,685845,4409,0.6,0.18,18,6.9,0.16,0.64,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202116,AG,other,1696,indication,685845,6105,0.9,0.216,21.6,8.5,0.25,0.89,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202117,AG,other,3479,indication,685845,9584,1.4,0.369,36.9,11.799999999999999,0.51,1.4,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202118,AG,other,3727,indication,685845,13311,1.9,0.319,31.900000000000002,14.299999999999999,0.54,1.94,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202119,AG,other,3956,indication,685845,17267,2.5,0.278,27.800000000000004,16.1,0.58,2.52,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202120,AG,other,7054,indication,685845,24321,3.5,0.331,33.1,18.9,1.03,3.55,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202121,AG,other,2622,indication,685845,26943,3.9,0.156,15.6,18.5,0.38,3.93,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202122,AG,other,3636,indication,685845,30579,4.5,0.143,14.299999999999999,17.9,0.53,4.46,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202123,AG,other,8353,indication,685845,38932,5.7,0.445,44.5,20.599999999999998,1.22,5.68,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202124,AG,other,10346,indication,685845,49278,7.2,0.628,62.8,23.9,1.51,7.19,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202125,AG,other,16993,indication,685845,66271,9.7,0.794,79.4,29.2,2.48,9.66,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202052,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202053,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202101,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202102,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202103,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202104,AI,age,61,indication,16128,61,0.4,0.663,66.3,66.3,0.38,0.38,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202105,AI,age,203,indication,16128,264,1.6,0.672,67.2,67,1.26,1.64,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202106,AI,age,98,indication,16128,362,2.2,0.508,50.8,61.7,0.61,2.24,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202107,AI,age,152,indication,16128,514,3.2,0.397,39.7,53,0.94,3.19,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202108,AI,age,45,indication,16128,559,3.5,0.849,84.89999999999999,54.6,0.28,3.47,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202109,AI,age,0,indication,16128,559,3.5,NA,NA,54.6,0,3.47,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202110,AI,age,38,indication,16128,597,3.7,0.4,40,53.400000000000006,0.24,3.7,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202111,AI,age,11,indication,16128,608,3.8,1,100,53.900000000000006,0.07,3.77,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202112,AI,age,12,indication,16128,620,3.8,0.145,14.499999999999998,51.2,0.07,3.84,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202113,AI,age,50,indication,16128,670,4.2,0.61,61,51.800000000000004,0.31,4.15,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202114,AI,age,10,indication,16128,680,4.2,0.455,45.5,51.7,0.06,4.22,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202115,AI,age,0,indication,16128,680,4.2,0,0,51.2,0,4.22,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202116,AI,age,91,indication,16128,771,4.8,0.469,46.9,50.7,0.56,4.78,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202117,AI,age,123,indication,16128,894,5.5,0.2,20,41.9,0.76,5.54,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202118,AI,age,35,indication,16128,929,5.8,0.119,11.899999999999999,38.2,0.22,5.76,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202119,AI,age,4,indication,16128,933,5.8,0.054,5.4,37.3,0.02,5.78,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
202120,AI,age,53,indication,16128,986,6.1,0.118,11.799999999999999,33.4,0.33,6.11,COVID19FullyVaccPersons,2021-06-29_09-35-11,detailed
