date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202110,AG,chronic_disease,1365,indication,685845,6602,1,0.269,26.900000000000002,23.1,0.2,0.96,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AG,chronic_disease,1658,indication,685845,8260,1.2,0.301,30.099999999999998,24.2,0.24,1.2,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AG,chronic_disease,2709,indication,685845,10969,1.6,0.313,31.3,25.7,0.39,1.6,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AG,chronic_disease,1963,indication,685845,12932,1.9,0.312,31.2,26.400000000000002,0.29,1.89,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AG,chronic_disease,3097,indication,685845,16029,2.3,0.361,36.1,27.800000000000004,0.45,2.34,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202115,AG,chronic_disease,2224,indication,685845,18253,2.7,0.358,35.8,28.599999999999998,0.32,2.66,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202116,AG,chronic_disease,3004,indication,685845,21257,3.1,0.383,38.3,29.7,0.44,3.1,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202117,AG,chronic_disease,3175,indication,685845,24432,3.6,0.337,33.7,30.099999999999998,0.46,3.56,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202118,AG,chronic_disease,4017,indication,685845,28449,4.1,0.345,34.5,30.7,0.59,4.15,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202119,AG,chronic_disease,4132,indication,685845,32581,4.8,0.291,29.099999999999998,30.5,0.6,4.75,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202120,AG,chronic_disease,7502,indication,685845,40083,5.8,0.353,35.3,31.3,1.09,5.84,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202121,AG,chronic_disease,5058,indication,685845,45141,6.6,0.301,30.099999999999998,31.1,0.74,6.58,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202122,AG,chronic_disease,5680,indication,685845,50821,7.4,0.226,22.6,29.9,0.83,7.41,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202052,AG,med_prof,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AG,med_prof,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AG,med_prof,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AG,med_prof,2,indication,685845,2,0,0.667,66.7,28.599999999999998,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AG,med_prof,138,indication,685845,140,0,0.952,95.19999999999999,92.10000000000001,0.02,0.02,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AG,med_prof,206,indication,685845,346,0.1,0.265,26.5,37.2,0.03,0.05,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AG,med_prof,378,indication,685845,724,0.1,0.145,14.499999999999998,20.5,0.06,0.11,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AG,med_prof,453,indication,685845,1177,0.2,0.186,18.6,19.7,0.07,0.17,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AG,med_prof,437,indication,685845,1614,0.2,0.084,8.4,14.499999999999998,0.06,0.24,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AG,med_prof,938,indication,685845,2552,0.4,0.146,14.6,14.499999999999998,0.14,0.37,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AG,med_prof,957,indication,685845,3509,0.5,0.162,16.2,14.899999999999999,0.14,0.51,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202110,AG,med_prof,1577,indication,685845,5086,0.7,0.31,31,17.8,0.23,0.74,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AG,med_prof,1519,indication,685845,6605,1,0.276,27.6,19.400000000000002,0.22,0.96,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AG,med_prof,1087,indication,685845,7692,1.1,0.126,12.6,18,0.16,1.12,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AG,med_prof,457,indication,685845,8149,1.2,0.073,7.3,16.6,0.07,1.19,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AG,med_prof,756,indication,685845,8905,1.3,0.088,8.799999999999999,15.5,0.11,1.3,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202115,AG,med_prof,530,indication,685845,9435,1.4,0.085,8.5,14.799999999999999,0.08,1.38,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202116,AG,med_prof,531,indication,685845,9966,1.5,0.068,6.800000000000001,13.900000000000002,0.08,1.45,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202117,AG,med_prof,516,indication,685845,10482,1.5,0.055,5.5,12.9,0.08,1.53,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202118,AG,med_prof,768,indication,685845,11250,1.6,0.066,6.6000000000000005,12.1,0.11,1.64,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202119,AG,med_prof,3564,indication,685845,14814,2.2,0.251,25.1,13.900000000000002,0.52,2.16,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202120,AG,med_prof,3627,indication,685845,18441,2.7,0.17,17,14.399999999999999,0.53,2.69,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202121,AG,med_prof,1593,indication,685845,20034,2.9,0.095,9.5,13.8,0.23,2.92,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202122,AG,med_prof,1552,indication,685845,21586,3.1,0.062,6.2,12.7,0.23,3.15,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202052,AG,contact_vuln,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AG,contact_vuln,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AG,contact_vuln,2,indication,685845,2,0,0.003,0.3,0.2,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AG,contact_vuln,32,indication,685845,34,0,0.012,1.2,1,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AG,contact_vuln,42,indication,685845,76,0,0.017,1.7000000000000002,1.3,0.01,0.01,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AG,contact_vuln,90,indication,685845,166,0,0.017,1.7000000000000002,1.5,0.01,0.02,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AG,contact_vuln,96,indication,685845,262,0,0.015,1.5,1.5,0.01,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AG,contact_vuln,153,indication,685845,415,0.1,0.026,2.6,1.7999999999999998,0.02,0.06,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202110,AG,contact_vuln,99,indication,685845,514,0.1,0.019,1.9,1.7999999999999998,0.01,0.07,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AG,contact_vuln,93,indication,685845,607,0.1,0.017,1.7000000000000002,1.7999999999999998,0.01,0.09,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AG,contact_vuln,115,indication,685845,722,0.1,0.013,1.3,1.7000000000000002,0.02,0.11,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AG,contact_vuln,91,indication,685845,813,0.1,0.014,1.4000000000000001,1.7000000000000002,0.01,0.12,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AG,contact_vuln,221,indication,685845,1034,0.2,0.026,2.6,1.7999999999999998,0.03,0.15,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202115,AG,contact_vuln,430,indication,685845,1464,0.2,0.069,6.9,2.3,0.06,0.21,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202116,AG,contact_vuln,414,indication,685845,1878,0.3,0.053,5.3,2.6,0.06,0.27,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202117,AG,contact_vuln,809,indication,685845,2687,0.4,0.086,8.6,3.3000000000000003,0.12,0.39,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202118,AG,contact_vuln,858,indication,685845,3545,0.5,0.074,7.3999999999999995,3.8,0.13,0.52,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202119,AG,contact_vuln,889,indication,685845,4434,0.6,0.063,6.3,4.1000000000000005,0.13,0.65,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202120,AG,contact_vuln,1747,indication,685845,6181,0.9,0.082,8.200000000000001,4.8,0.25,0.9,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202121,AG,contact_vuln,6806,indication,685845,12987,1.9,0.405,40.5,9,0.99,1.89,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202122,AG,contact_vuln,12361,indication,685845,25348,3.7,0.492,49.2,14.899999999999999,1.8,3.7,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202052,AG,contact_comm,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AG,contact_comm,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AG,contact_comm,30,indication,685845,30,0,0.006,0.6,0.3,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AG,contact_comm,19,indication,685845,49,0,0.003,0.3,0.3,0,0.01,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AG,contact_comm,122,indication,685845,171,0,0.021,2.1,0.7000000000000001,0.02,0.02,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202110,AG,contact_comm,13,indication,685845,184,0,0.003,0.3,0.6,0,0.03,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AG,contact_comm,0,indication,685845,184,0,0,0,0.5,0,0.03,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AG,contact_comm,2,indication,685845,186,0,0,0,0.4,0,0.03,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AG,contact_comm,68,indication,685845,254,0,0.011,1.0999999999999999,0.5,0.01,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AG,contact_comm,28,indication,685845,282,0,0.003,0.3,0.5,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202115,AG,contact_comm,1,indication,685845,283,0,0,0,0.4,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202116,AG,contact_comm,0,indication,685845,283,0,0,0,0.4,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202117,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202118,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202119,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202120,AG,contact_comm,0,indication,685845,283,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202121,AG,contact_comm,2,indication,685845,285,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202122,AG,contact_comm,6,indication,685845,291,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202052,AG,other,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AG,other,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AG,other,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AG,other,1,indication,685845,1,0,0.333,33.300000000000004,14.299999999999999,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AG,other,1,indication,685845,2,0,0.007,0.7000000000000001,1.3,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AG,other,22,indication,685845,24,0,0.028,2.8000000000000003,2.6,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AG,other,216,indication,685845,240,0,0.083,8.3,6.800000000000001,0.03,0.03,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AG,other,122,indication,685845,362,0.1,0.05,5,6.1,0.02,0.05,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AG,other,272,indication,685845,634,0.1,0.052,5.2,5.7,0.04,0.09,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AG,other,423,indication,685845,1057,0.2,0.066,6.6000000000000005,6,0.06,0.15,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AG,other,281,indication,685845,1338,0.2,0.048,4.8,5.7,0.04,0.2,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202110,AG,other,225,indication,685845,1563,0.2,0.044,4.3999999999999995,5.5,0.03,0.23,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AG,other,248,indication,685845,1811,0.3,0.045,4.5,5.3,0.04,0.26,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AG,other,460,indication,685845,2271,0.3,0.053,5.3,5.3,0.07,0.33,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AG,other,354,indication,685845,2625,0.4,0.056,5.6000000000000005,5.4,0.05,0.38,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AG,other,657,indication,685845,3282,0.5,0.077,7.7,5.7,0.1,0.48,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202115,AG,other,1120,indication,685845,4402,0.6,0.18,18,6.9,0.16,0.64,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202116,AG,other,1692,indication,685845,6094,0.9,0.216,21.6,8.5,0.25,0.89,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202117,AG,other,3477,indication,685845,9571,1.4,0.369,36.9,11.799999999999999,0.51,1.4,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202118,AG,other,3724,indication,685845,13295,1.9,0.319,31.900000000000002,14.299999999999999,0.54,1.94,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202119,AG,other,3942,indication,685845,17237,2.5,0.277,27.700000000000003,16.1,0.57,2.51,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202120,AG,other,7037,indication,685845,24274,3.5,0.331,33.1,18.9,1.03,3.54,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202121,AG,other,2600,indication,685845,26874,3.9,0.155,15.5,18.5,0.38,3.92,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202122,AG,other,3549,indication,685845,30423,4.4,0.141,14.099999999999998,17.9,0.52,4.44,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202052,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AI,age,61,indication,16128,61,0.4,0.663,66.3,66.3,0.38,0.38,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AI,age,199,indication,16128,260,1.6,0.659,65.9,66,1.23,1.61,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AI,age,98,indication,16128,358,2.2,0.51,51,61.1,0.61,2.22,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AI,age,150,indication,16128,508,3.1,0.393,39.300000000000004,52.5,0.93,3.15,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AI,age,45,indication,16128,553,3.4,0.849,84.89999999999999,54.2,0.28,3.43,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AI,age,0,indication,16128,553,3.4,NA,NA,54.2,0,3.43,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202110,AI,age,38,indication,16128,591,3.7,0.4,40,53,0.24,3.66,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AI,age,11,indication,16128,602,3.7,1,100,53.400000000000006,0.07,3.73,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AI,age,12,indication,16128,614,3.8,0.145,14.499999999999998,50.7,0.07,3.81,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AI,age,50,indication,16128,664,4.1,0.61,61,51.4,0.31,4.12,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AI,age,9,indication,16128,673,4.2,0.409,40.9,51.2,0.06,4.17,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202115,AI,age,0,indication,16128,673,4.2,0,0,50.8,0,4.17,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202116,AI,age,91,indication,16128,764,4.7,0.469,46.9,50.3,0.56,4.74,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202117,AI,age,122,indication,16128,886,5.5,0.199,19.900000000000002,41.6,0.76,5.49,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202118,AI,age,35,indication,16128,921,5.7,0.119,11.899999999999999,38,0.22,5.71,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202119,AI,age,4,indication,16128,925,5.7,0.054,5.4,37,0.02,5.74,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202120,AI,age,53,indication,16128,978,6.1,0.118,11.799999999999999,33.2,0.33,6.06,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202121,AI,age,28,indication,16128,1006,6.2,0.058,5.800000000000001,29.299999999999997,0.17,6.24,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202122,AI,age,14,indication,16128,1020,6.3,0.038,3.8,26.8,0.09,6.32,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202052,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AI,chronic_disease,14,indication,16128,14,0.1,0.152,15.2,15.2,0.09,0.09,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AI,chronic_disease,73,indication,16128,87,0.5,0.242,24.2,22.1,0.45,0.54,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AI,chronic_disease,57,indication,16128,144,0.9,0.297,29.7,24.6,0.35,0.89,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AI,chronic_disease,135,indication,16128,279,1.7,0.353,35.3,28.799999999999997,0.84,1.73,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AI,chronic_disease,8,indication,16128,287,1.8,0.151,15.1,28.1,0.05,1.78,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AI,chronic_disease,0,indication,16128,287,1.8,NA,NA,28.1,0,1.78,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202110,AI,chronic_disease,47,indication,16128,334,2.1,0.495,49.5,29.9,0.29,2.07,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AI,chronic_disease,0,indication,16128,334,2.1,0,0,29.599999999999998,0,2.07,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AI,chronic_disease,25,indication,16128,359,2.2,0.301,30.099999999999998,29.7,0.16,2.23,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AI,chronic_disease,31,indication,16128,390,2.4,0.378,37.8,30.2,0.19,2.42,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AI,chronic_disease,11,indication,16128,401,2.5,0.5,50,30.5,0.07,2.49,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
