date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202117,AG,contact_vuln,810,indication,685845,2689,0.4,0.086,8.6,3.3000000000000003,0.12,0.39,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202118,AG,contact_vuln,859,indication,685845,3548,0.5,0.074,7.3999999999999995,3.8,0.13,0.52,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202119,AG,contact_vuln,889,indication,685845,4437,0.6,0.062,6.2,4.1000000000000005,0.13,0.65,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202120,AG,contact_vuln,1745,indication,685845,6182,0.9,0.082,8.200000000000001,4.8,0.25,0.9,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202121,AG,contact_vuln,6806,indication,685845,12988,1.9,0.405,40.5,8.9,0.99,1.89,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202122,AG,contact_vuln,12365,indication,685845,25353,3.7,0.49,49,14.899999999999999,1.8,3.7,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202123,AG,contact_vuln,4026,indication,685845,29379,4.3,0.215,21.5,15.5,0.59,4.28,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202052,AG,contact_comm,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202053,AG,contact_comm,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202101,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202102,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202103,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202104,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202105,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202106,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202107,AG,contact_comm,30,indication,685845,30,0,0.006,0.6,0.3,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202108,AG,contact_comm,19,indication,685845,49,0,0.003,0.3,0.3,0,0.01,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202109,AG,contact_comm,122,indication,685845,171,0,0.021,2.1,0.7000000000000001,0.02,0.02,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202110,AG,contact_comm,13,indication,685845,184,0,0.003,0.3,0.6,0,0.03,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202111,AG,contact_comm,0,indication,685845,184,0,0,0,0.5,0,0.03,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202112,AG,contact_comm,2,indication,685845,186,0,0,0,0.4,0,0.03,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202113,AG,contact_comm,68,indication,685845,254,0,0.011,1.0999999999999999,0.5,0.01,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202114,AG,contact_comm,28,indication,685845,282,0,0.003,0.3,0.5,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202115,AG,contact_comm,1,indication,685845,283,0,0,0,0.4,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202116,AG,contact_comm,0,indication,685845,283,0,0,0,0.4,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202117,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202118,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202119,AG,contact_comm,0,indication,685845,283,0,0,0,0.3,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202120,AG,contact_comm,0,indication,685845,283,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202121,AG,contact_comm,2,indication,685845,285,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202122,AG,contact_comm,7,indication,685845,292,0,0,0,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202123,AG,contact_comm,11,indication,685845,303,0,0.001,0.1,0.2,0,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202052,AG,other,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202053,AG,other,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202101,AG,other,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202102,AG,other,1,indication,685845,1,0,0.25,25,12.5,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202103,AG,other,3,indication,685845,4,0,0.016,1.6,2,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202104,AG,other,24,indication,685845,28,0,0.03,3,2.8000000000000003,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202105,AG,other,216,indication,685845,244,0,0.083,8.3,6.800000000000001,0.03,0.04,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202106,AG,other,122,indication,685845,366,0.1,0.05,5,6.1,0.02,0.05,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202107,AG,other,272,indication,685845,638,0.1,0.052,5.2,5.7,0.04,0.09,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202108,AG,other,423,indication,685845,1061,0.2,0.066,6.6000000000000005,6,0.06,0.15,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202109,AG,other,281,indication,685845,1342,0.2,0.048,4.8,5.7,0.04,0.2,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202110,AG,other,225,indication,685845,1567,0.2,0.044,4.3999999999999995,5.5,0.03,0.23,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202111,AG,other,248,indication,685845,1815,0.3,0.045,4.5,5.3,0.04,0.26,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202112,AG,other,460,indication,685845,2275,0.3,0.053,5.3,5.3,0.07,0.33,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202113,AG,other,355,indication,685845,2630,0.4,0.056,5.6000000000000005,5.4,0.05,0.38,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202114,AG,other,657,indication,685845,3287,0.5,0.077,7.7,5.7,0.1,0.48,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202115,AG,other,1120,indication,685845,4407,0.6,0.18,18,6.9,0.16,0.64,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202116,AG,other,1692,indication,685845,6099,0.9,0.216,21.6,8.5,0.25,0.89,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202117,AG,other,3477,indication,685845,9576,1.4,0.369,36.9,11.799999999999999,0.51,1.4,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202118,AG,other,3725,indication,685845,13301,1.9,0.319,31.900000000000002,14.299999999999999,0.54,1.94,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202119,AG,other,3947,indication,685845,17248,2.5,0.277,27.700000000000003,16.1,0.58,2.51,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202120,AG,other,7052,indication,685845,24300,3.5,0.331,33.1,18.9,1.03,3.54,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202121,AG,other,2601,indication,685845,26901,3.9,0.155,15.5,18.5,0.38,3.92,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202122,AG,other,3612,indication,685845,30513,4.4,0.143,14.299999999999999,17.9,0.53,4.45,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202123,AG,other,8316,indication,685845,38829,5.7,0.445,44.5,20.5,1.21,5.66,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202052,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202053,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202101,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202102,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202103,AI,age,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202104,AI,age,61,indication,16128,61,0.4,0.663,66.3,66.3,0.38,0.38,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202105,AI,age,199,indication,16128,260,1.6,0.659,65.9,66,1.23,1.61,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202106,AI,age,98,indication,16128,358,2.2,0.51,51,61.1,0.61,2.22,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202107,AI,age,150,indication,16128,508,3.1,0.393,39.300000000000004,52.5,0.93,3.15,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202108,AI,age,45,indication,16128,553,3.4,0.849,84.89999999999999,54.2,0.28,3.43,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202109,AI,age,0,indication,16128,553,3.4,NA,NA,54.2,0,3.43,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202110,AI,age,38,indication,16128,591,3.7,0.4,40,53,0.24,3.66,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202111,AI,age,11,indication,16128,602,3.7,1,100,53.400000000000006,0.07,3.73,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202112,AI,age,12,indication,16128,614,3.8,0.145,14.499999999999998,50.7,0.07,3.81,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202113,AI,age,50,indication,16128,664,4.1,0.61,61,51.4,0.31,4.12,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202114,AI,age,9,indication,16128,673,4.2,0.409,40.9,51.2,0.06,4.17,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202115,AI,age,0,indication,16128,673,4.2,0,0,50.8,0,4.17,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202116,AI,age,91,indication,16128,764,4.7,0.469,46.9,50.3,0.56,4.74,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202117,AI,age,122,indication,16128,886,5.5,0.199,19.900000000000002,41.6,0.76,5.49,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202118,AI,age,35,indication,16128,921,5.7,0.119,11.899999999999999,38,0.22,5.71,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202119,AI,age,4,indication,16128,925,5.7,0.054,5.4,37,0.02,5.74,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202120,AI,age,53,indication,16128,978,6.1,0.118,11.799999999999999,33.2,0.33,6.06,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202121,AI,age,28,indication,16128,1006,6.2,0.058,5.800000000000001,29.299999999999997,0.17,6.24,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202122,AI,age,14,indication,16128,1020,6.3,0.038,3.8,26.8,0.09,6.32,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202123,AI,age,20,indication,16128,1040,6.4,0.052,5.2,24.9,0.12,6.45,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202052,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202053,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202101,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202102,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202103,AI,chronic_disease,0,indication,16128,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202104,AI,chronic_disease,14,indication,16128,14,0.1,0.152,15.2,15.2,0.09,0.09,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202105,AI,chronic_disease,73,indication,16128,87,0.5,0.242,24.2,22.1,0.45,0.54,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202106,AI,chronic_disease,57,indication,16128,144,0.9,0.297,29.7,24.6,0.35,0.89,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
202107,AI,chronic_disease,135,indication,16128,279,1.7,0.353,35.3,28.799999999999997,0.84,1.73,COVID19FullyVaccPersons,2021-06-18_09-35-00,detailed
